ipc_general,ipc_subyacente,ipc_alimentos,fecha,año,mes
1.30455818519093,0.836695067658077,1.83881882302363,2017-03-01,2017,3
-0.258053478882145,0.0877375375798358,-0.64903238200935,2017-04-01,2017,4
-0.423337988013419,0.0788201617603336,-0.995328604297041,2017-05-01,2017,5
-0.159198769026384,0.0552424752660882,-0.406111337566781,2017-06-01,2017,6
0.198285823750627,0.166530605375226,0.235018886557081,2017-07-01,2017,7
0.672225629676554,0.382761271830719,1.00683668752047,2017-08-01,2017,8
-0.0157699757397503,-0.00770643220527841,-0.0250335693724154,2017-09-01,2017,9
-0.469245219484567,0.0218524417622103,-1.03352785951741,2017-10-01,2017,10
-0.197237337488294,0.0299061592080863,-0.461013736501878,2017-11-01,2017,11
0.156851858043552,0.294888607252662,-0.00423755495291393,2017-12-01,2017,12
0.127417107488591,-0.129632120477451,0.4282918862769,2018-01-01,2018,1
0.250220520720826,0.135594088548836,0.383644788630752,2018-02-01,2018,2
0.487124356837782,0.854860524707049,0.0618566793585029,2018-03-01,2018,3
-0.137073083858309,0.0110170826550447,-0.312098877964072,2018-04-01,2018,4
0.0184551804113629,0.168729530954397,-0.157983621296146,2018-05-01,2018,5
0.334058214668909,0.278052544647491,0.400987869552616,2018-06-01,2018,6
0.382785985925354,0.271853922886728,0.512341351756043,2018-07-01,2018,7
0.131767259402052,0.09196177249547552,0.178486799926797,2018-08-01,2018,8
0.191681610790045,0.0432998767173636,0.365686238442999,2018-09-01,2018,9
0.0816835303769421,0.0576882090486322,0.110675797413453,2018-10-01,2018,10
0.122438003210824,0.0658946274744747,0.187553571068501,2018-11-01,2018,11
0.181777270585084,0.343936860947243,-0.00744320371399742,2018-12-01,2018,12
0.0653322898985492,0.0543105080547535,0.07823856034835,2019-01-01,2019,1
0.126761453780625,0.124970173750429,0.128482386436678,2019-02-01,2019,2
0.727552259105356,1.02091637412343,0.384501712061012,2019-03-01,2019,3
0.200080537447719,0.0428133061872785,0.385353797956071,2019-04-01,2019,4
0.14761382269664,0.142103933087333,0.154082760020971,2019-05-01,2019,5
-0.0862718704256484,0.0229426083705946,-0.21448081251837,2019-06-01,2019,6
0.203336703292959,0.122670558510008,0.298257528767803,2019-07-01,2019,7
0.0609772736582818,0.140292245379495,-0.0321902206285011,2019-08-01,2019,8
0.00638299858017871,0.00632622336407492,0.00644980477165231,2019-09-01,2019,9
0.110725430948253,0.228356308421057,-0.0276881546085376,2019-10-01,2019,10
0.108910232526761,0.038899226280549,0.191501584446692,2019-11-01,2019,11
0.214521161156722,0.336278749745735,0.0711036067501774,2019-12-01,2019,12
0.0538080667322616,0.0679496180960414,0.0371066762457067,2020-01-01,2020,1
0.142172034360178,0.149431959749812,0.13359530687318,2020-02-01,2020,2
0.645999987966259,0.423488200565891,0.911342426758198,2020-03-01,2020,3
0.104582684852522,0.180767186483484,0.0125902640660494,2020-04-01,2020,4
0.204153570879042,0.126862078680111,0.295189917944384,2020-05-01,2020,5
-0.266096854987984,0.0692723409998636,-0.660442275130528,2020-06-01,2020,6
0.462688397344215,0.0290339235427412,0.976348675381054,2020-07-01,2020,7
-0.110238965197723,0.114915956983113,-0.37306292981623,2020-08-01,2020,8
0.136353971354613,0.0469519751381856,0.240395033722403,2020-09-01,2020,9
0.0167755516523417,0.0821496137334078,-0.0601600112155809,2020-10-01,2020,10
0.520479581391504,0.113750842567248,0.999820495150294,2020-11-01,2020,11
0.0487327395330378,0.344251327606492,-0.297393438955158,2020-12-01,2020,12
0.742901704166242,-0.00362928539146778,1.62151703719724,2021-01-01,2021,1
-0.125265562868538,0.0323473716577116,-0.307608595734541,2021-02-01,2021,2
0.839468767410369,0.640801693783495,1.07009125901349,2021-03-01,2021,3
-0.104691802721501,0.109597485701745,-0.352392744462697,2021-04-01,2021,4
0.266557522263624,0.168548750299159,0.380372910185817,2021-05-01,2021,5
0.51967163414861,0.195477344652453,0.895356736029725,2021-06-01,2021,6
1.00753906510749,0.279436830970827,1.84543081538427,2021-07-01,2021,7
0.98493531236659,0.353822963507835,1.70004484192427,2021-08-01,2021,8
0.40042251687241,0.228131971645276,0.593059695950382,2021-09-01,2021,9
0.58366506925955,0.295865255282739,0.904285203435286,2021-10-01,2021,10
0.358183580426998,0.233652343077495,0.496079687258691,2021-11-01,2021,11
0.782835268325123,0.662171988670295,0.916099396457412,2021-12-01,2021,12
0.0372679999999974,-0.155776290841999,0.275835066851002,2022-01-01,2022,1
